region_id,facility_city
1,WRIGHTWOOD
2,ACTON
2,DEL SUR
2,LANCASTER
2,LEONA VALLEY
2,LITTLEROCK
2,LLANO
2,PALMDALE
2,PEARBLOSSOM
2,QUARTZ HILL
2,SUN VILLAGE
3,HOLLYWOOD
3,Kern
3,WEST HOLLYWOOD
4,EAST LOS ANGELES
4,EL SERENO
4,LINCOLN HEIGHTS
5,AVALON
5,CARSON
5,HARBOR CITY
5,HAWAIIAN GARDENS
5,LAKEWOOD
5,LONG BEACH
5,RANCHO DOMINGUEZ
5,SAN PEDRO
5,SIGNAL HILL
5,TERMINAL ISLAND
5,WILMINGTON
6,LOS ANGELES
7,ATWATER
7,EAGLE ROCK
8,AGUA DULCE
8,CASTAIC
8,GORMAN
8,GREEN VALLEY
8,LAKE HUGHES
8,LEBEC
8,NEWHALL
8,SANTA CLARITA
8,SAUGUS
8,STEVENSON RANCH
8,VAL VERDE
8,VALENCIA
8,VALYERMO
9,CLAREMONT
9,LA VERNE
9,POMONA
10,ARLETA
10,BURBANK
10,CANOGA PARK
10,CHATSWORTH
10,ENCINO
10,GRANADA HILLS
10,LAKE BALBAO
10,LAKE BALBOA
10,LAKE VIEW TERRACE
10,LAKEVIEW TERRACE
10,MISSION HILLS
10,NORTH HILLS
10,NORTH HOLLYWOOD
10,NORTHRIDGE
10,PACOIMA
10,PANORAMA CITY
10,PORTER RANCH
10,RESEDA
10,SAN FERNANDO
10,SEPULVEDA
10,SHADOW HILLS
10,SHERMAN OAKS
10,STUDIO CITY
10,SUN VALLEY
10,SYLMAR
10,TARZANA
10,TOLUCA LAKE
10,UNIVERSAL CITY
10,VALLEY GLEN
10,VALLEY VILLAGE
10,VAN NUYS
10,VENTURA
10,WEST HILLS
10,WINNETKA
10,WOODLAND HILLS
11,ALHAMBRA
11,ARCADIA
11,AZUSA
11,BALDWIN PARK
11,CITY OF INDUSTRY
11,COVINA
11,DIAMOND BAR
11,DUARTE
11,EL MONTE
11,GLENDORA
11,HACIENDA HEIGHTS
11,INDUSTRY
11,IRWINDALE
11,LA HABRA
11,LA PUENTE
11,MONROVIA
11,MONTEREY PARK
11,ROSEMEAD
11,ROWLAND HEIGHTS
11,SAN DIMAS
11,SAN GABRIEL
11,SAN MARINO
11,SIERRA MADRE
11,SOUTH EL MONTE
11,SOUTH PASADENA
11,SOUTH SAN GABRIEL
11,TEMPLE CITY
11,WALNUT
11,WEST COVINA
11,WHITTIER
12,AGOURA
12,AGOURA HILLS
12,CALABASAS
12,CANYON COUNTRY
12,MALIBU
12,TOPANGA
12,WESTLAKE VILLAGE
13,EL SEGUNDO
13,GARDENA
13,HAWTHORNE
13,HERMOSA BEACH
13,INGLEWOOD
13,LAWNDALE
13,LENNOX
13,LOMITA
13,MANHATTAN BEACH
13,PALOS VERDES ESTATES
13,PALOS VERDES PENINSULA
13,PLAYA DEL REY
13,RANCHO PALOS VERDES
13,REDONDO BEACH
13,ROLLING HILLS
13,ROLLING HILLS ESTATES
13,TORRANCE
13,WESTCHESTER
14,ARTESIA
14,BELL
14,BELL GARDENS
14,BELLFLOWER
14,CERRITOS
14,COMMERCE
14,COMPTON
14,CUDAHY
14,DOWNEY
14,HUNTINGTON PARK
14,LA MIRADA
14,LYNWOOD
14,MAYWOOD
14,MONTEBELLO
14,NORWALK
14,PARAMOUNT
14,PICO RIVERA
14,SANTA FE SPRINGS
14,SOUTH GATE
14,VERNON
14,WALNUT PARK
15,ALTADENA
15,GLENDALE
15,LA CANADA FLINTRIDGE
15,LA CRESCENTA
15,MONTROSE
15,MT. WILSON
15,PASADENA
15,SUNLAND
15,TUJUNGA
16,BEVERLY HILLS
16,BRENTWOOD
16,CENTURY CITY
16,CULVER CITY
16,MARINA DEL REY
16,PACIFIC PALISADES
16,PLAYA VISTA
16,SANTA MONICA
16,VENICE
16,WEST LOS ANGELES
16,WESTWOOD
