date,points,serial_number,violation_code,violation_description,violation_status
2021-01-01,1,DAJ5UNMSF,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-01-02,4,DAT2HKIRE,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-01-03,1,DAT2HKIRE,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-01-04,1,DAT2HKIRE,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-01-05,1,DAQN0I8EA,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-01-06,2,DAQN0I8EA,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-01-07,1,DAQN0I8EA,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-01-08,2,DAQN0I8EA,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2021-01-09,1,DAQN0I8EA,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-01-10,1,DAQN0I8EA,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-01-11,1,DAQN0I8EA,F034,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE
2021-01-12,1,DALVZ4JUV,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-01-13,2,DALVZ4JUV,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-01-14,1,DALVZ4JUV,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-01-15,2,DALVZ4JUV,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-01-16,1,DAXJXWTVO,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-01-17,1,DAXJXWTVO,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-01-18,1,DAXJXWTVO,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-01-19,1,DAXJXWTVO,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-01-20,1,DAXJXWTVO,F038,# 38. Thermometers provided and accurate,OUT OF COMPLIANCE
2021-01-21,4,DAXJXWTVO,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-01-22,1,DA7KZFE4Q,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2021-01-23,1,DA7KZFE4Q,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-01-24,1,DA7KZFE4Q,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-01-25,1,DA7KZFE4Q,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-01-26,1,DASN4EKRV,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-01-27,1,DASN4EKRV,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-01-28,1,DASN4EKRV,F048,# 47. Permits Available,OUT OF COMPLIANCE
2021-01-29,1,DASN4EKRV,F046,# 46. Signs posted; last inspection report available,OUT OF COMPLIANCE
2021-01-30,1,DASN4EKRV,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-01-31,2,DASN4EKRV,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-02-01,1,DASN4EKRV,F038,# 38. Thermometers provided and accurate,OUT OF COMPLIANCE
2021-02-02,1,DA0366375,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-02-03,1,DA0366375,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-02-04,2,DA0366375,F004,"# 04. Proper eating, drinking, or tobacco use",OUT OF COMPLIANCE
2021-02-05,1,DAAXH8YPL,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2021-02-06,1,DADH070LE,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2021-02-07,2,DADH070LE,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-02-08,1,DADH070LE,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-02-09,2,DABFFK3CV,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-02-10,1,DABFFK3CV,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-02-11,1,DAXGQGT6F,F034,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE
2021-02-12,1,DAXGQGT6F,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-02-13,1,DAXGQGT6F,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-02-14,1,DAXGQGT6F,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-02-15,1,DAXGQGT6F,F038,# 38. Thermometers provided and accurate,OUT OF COMPLIANCE
2021-02-16,1,DAXGQGT6F,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-02-17,1,DAXGQGT6F,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-02-18,1,DAD72GNEZ,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-02-19,1,DAD72GNEZ,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-02-20,1,DAD72GNEZ,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-02-21,2,DAD72GNEZ,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-02-22,1,DAD72GNEZ,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
